TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-04 03:26:27.165000000,A 'pure' computed must not be called recursively,Firefox,Firefox 41.0,Windows,Windows 7,1280X720,North America,United States,Nebraska,Lincoln,9C52A5B3-E16E-4BE2-8BD3-3D341FBCF255,,6A1A859F-2293-4678-A29B-666273B32FEB,False,9fee5643-2fa9-41eb-ae6d-21fde66bb17d
2015-10-04 03:26:29.092000000,A 'pure' computed must not be called recursively,Firefox,Firefox 41.0,Windows,Windows 7,1280X720,North America,United States,Nebraska,Lincoln,9C52A5B3-E16E-4BE2-8BD3-3D341FBCF255,,6A1A859F-2293-4678-A29B-666273B32FEB,False,9fee5643-2fa9-41eb-ae6d-21fde66bb17d
2015-10-04 03:26:30.279000000,A 'pure' computed must not be called recursively,Firefox,Firefox 41.0,Windows,Windows 7,1280X720,North America,United States,Nebraska,Lincoln,9C52A5B3-E16E-4BE2-8BD3-3D341FBCF255,,6A1A859F-2293-4678-A29B-666273B32FEB,False,9fee5643-2fa9-41eb-ae6d-21fde66bb17d
2015-10-04 03:26:30.281000000,A 'pure' computed must not be called recursively,Firefox,Firefox 41.0,Windows,Windows 7,1280X720,North America,United States,Nebraska,Lincoln,9C52A5B3-E16E-4BE2-8BD3-3D341FBCF255,,6A1A859F-2293-4678-A29B-666273B32FEB,False,9fee5643-2fa9-41eb-ae6d-21fde66bb17d
2015-10-04 03:26:32.740000000,A 'pure' computed must not be called recursively,Firefox,Firefox 41.0,Windows,Windows 7,1280X720,North America,United States,Nebraska,Lincoln,9C52A5B3-E16E-4BE2-8BD3-3D341FBCF255,,6A1A859F-2293-4678-A29B-666273B32FEB,False,9fee5643-2fa9-41eb-ae6d-21fde66bb17d
2015-10-04 03:20:01.636000000,Unexpected token z,Chrome,Chrome 45.0,Windows,Windows 7,1364X768,Asia,Taiwan,,,AA8438A4-33E7-4DDD-B618-E1E03E2116B3,,BD507506-E8C6-4F03-93A9-C5386E25DE32,False,UnknownIbizaUser
2015-10-04 03:17:11.814000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,47BF5A27-52B7-42D9-82C4-5C405E2844E3,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-04 03:17:57.733000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,Europe,Netherlands,,,D06E034C-190D-44D7-882A-5F0B168F7BEC,,6AE11F9B-CB4B-46FD-9256-A125716285A7,False,c628ce10-3223-493b-a11a-09a8a7e5b51a
2015-10-04 03:17:59.718000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,Europe,Netherlands,,,D06E034C-190D-44D7-882A-5F0B168F7BEC,,6AE11F9B-CB4B-46FD-9256-A125716285A7,False,c628ce10-3223-493b-a11a-09a8a7e5b51a
2015-10-04 03:17:58.805000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,Europe,Netherlands,,,D06E034C-190D-44D7-882A-5F0B168F7BEC,,6AE11F9B-CB4B-46FD-9256-A125716285A7,False,c628ce10-3223-493b-a11a-09a8a7e5b51a
2015-10-04 03:18:00.724000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,Europe,Netherlands,,,D06E034C-190D-44D7-882A-5F0B168F7BEC,,6AE11F9B-CB4B-46FD-9256-A125716285A7,False,c628ce10-3223-493b-a11a-09a8a7e5b51a
2015-10-04 03:53:21.193000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,Asia,Singapore,,Singapore,B9E41579-9B27-4481-8C75-C30A5D0E0CC9,,9612EAF0-4196-440C-8DD7-136DEB008AFC,False,2488c915-337a-448f-8117-ee245b6c1ebd
2015-10-04 03:50:38.634000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,EB2EF7A0-6A1F-4D9B-901D-DA9B779A14C5,False,57879096-5927-4354-b69d-803c895c8532
2015-10-04 03:50:38.638000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,EB2EF7A0-6A1F-4D9B-901D-DA9B779A14C5,False,57879096-5927-4354-b69d-803c895c8532
